GeneLabel,Index
atp1,0.637183730617577
atp3,0.281972335355499
atp4,0.628011701902895
atp6,0.99942769254298
atp8,0.995092637997434
atp9,0.743886851908181
ccma,0.256205169331218
ccmb,0.593310711640859
ccmc,0.594135780253953
ccmf,0.596171000921546
cox1,1
cox11,0.27405420574833
cox2,0.999279501320248
cox3,0.999889469795873
cytb,0.999953959643162
dpo,0.352146506113786
matr,0.556026541103829
msh1,0.409074461434363
mttb,0.546194703243462
nad1,0.999399922340234
nad10,0.40186864016179
nad11,0.549365436047834
nad2,0.999344360272179
nad3,0.999223876579142
nad4,0.999473960180849
nad4l,0.999205328561656
nad5,0.99942769254298
nad6,0.999344360272179
nad7,0.657621072144167
nad8,0.339561877028016
nad9,0.662498700796662
rnl,0.325294601285621
rpl10,0.552444780429112
rpl11,0.348114108522803
rpl14,0.585137427633119
rpl16,0.672820025925513
rpl19,0.256205169331218
rpl2,0.627110043771739
rpl20,0.433841502953862
rpl31,0.446015974705006
rpl32,0.256205169331218
rpl5,0.651313584020176
rpl6,0.606171072116973
rpo,0.281972335355499
rps1,0.568219074870816
rps10,0.617977743661683
rps11,0.640961502821237
rps12,0.680597513345123
rps13,0.647641543784143
rps14,0.646891745237184
rps19,0.634118841469285
rps2,0.616986894015389
rps3,0.716076681872325
rps4,0.658299460800663
rps7,0.636908708961325
rps8,0.575799973726298
rtl,0.33501455865989
sdh2,0.489884767936525
sdh3,0.595767046359234
sdh4,0.607266936641121
secy,0.447647240810287
tata,0.352146506113786
tatc,0.587349636149795
var1,0.325294601285621
yejr,0.320081574505624
yeju,0.256205169331218
